Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Legal Department|Group C|Full Time|Married|55|Seattle|02/26/2015|Non Active|12|14|3 Years|3 Years|College|High|Medium|Outstanding|High|Good|Horn|Female|89900|White Collar
Research and Development|Group B|Full Time|Divorced|32|New York City|06/12/2014|Non Active|4|12|3 Years|3 Years|Bachelor|Low|Medium|Outstanding|Medium|Good|Alvarado|Female|107482|White Collar
Accounting|Group B|Part Time|Divorced|37|New York City|03/27/2017|Active|10|11|3 Years|3 Years|Bachelor|Medium|Low|Low|High|Better|Sanders|Male|104528|Other
Human Resources|Group B|Full Time|Married|28|Seattle|11/26/2018|Active|7|12|3 Years|3 Years|Masters|Medium|Medium|Excellent|Very High|Better|Cortez|Male|105759|White Collar
Accounting|Group A|Full Time|Single|62|Los Angeles|03/03/2013|Active|7|7|1 Year|2 Years|Bachelor|Medium|Low|Good|Medium|Bad|Jensen|Female|108554|Other
Advertising|Group C|Part Time|Married|48|Seattle|03/19/2016|Active|9|7|2 Years|1 Year|Doctor|High|High|Low|High|Bad|Hatfield|Male|94501|Blue Collar
Finances|Group B|Part Time|Married|64|Los Angeles|03/01/2016|Active|12|9|2 Years|1 Year|College|Low|Low|Good|High|Bad|Casey|Male|84552|White Collar
Finances|Group A|Part Time|Divorced|55|Houston|05/07/2014|Non Active|11|16|1 Year|2 Years|Doctor|Very High|Medium|Low|Low|Good|Dunlap|Male|96299|White Collar
Accounting|Group D|Part Time|Married|33|Los Angeles|07/18/2018|Active|1|5|3 Years|2 Years|Bachelor|Low|Medium|Excellent|Medium|Bad|Holcomb|Male|114300|Other
Human Resources|Group A|Full Time|Divorced|35|Seattle|11/07/2017|Non Active|4|6|3 Years|2 Years|Bachelor|Medium|Low|Good|Low|Best|Mckenzie|Male|93454|White Collar
Research and Development|Group C|Full Time|Married|43|Houston|02/10/2014|Active|4|7|3 Years|1 Year|College|Low|Very High|Excellent|Very High|Best|Fernandez|Female|92831|White Collar
Customer Service|Group A|Part Time|Single|46|Los Angeles|08/11/2013|Non Active|6|11|3 Years|3 Years|College|Very High|Very High|Low|High|Bad|Valencia|Male|84824|Other
Customer Service|Group C|Full Time|Married|46|Los Angeles|11/29/2017|Non Active|12|7|2 Years|2 Years|Masters|Low|Low|Outstanding|Medium|Best|Christian|Female|98427|Blue Collar
Media Relations|Group A|Full Time|Married|65|Seattle|06/19/2015|Non Active|7|16|1 Year|2 Years|College|Medium|Very High|Outstanding|Medium|Best|Hutchinson|Female|96148|Other
Research and Development|Group D|Part Time|Divorced|29|Seattle|07/30/2014|Active|5|15|3 Years|3 Years|Bachelor|High|Very High|Excellent|Low|Best|Mccormick|Male|81996|Blue Collar
Payroll|Group D|Part Time|Divorced|38|Los Angeles|01/01/2017|Non Active|9|16|3 Years|3 Years|College|Medium|Low|Low|High|Bad|Pollard|Male|113880|White Collar
Quality Assurance|Group A|Full Time|Divorced|58|Seattle|10/06/2014|Non Active|11|20|1 Year|1 Year|Bachelor|High|Low|Low|Very High|Better|Wilcox|Male|111484|Blue Collar
Human Resources|Group D|Part Time|Married|31|Houston|01/26/2013|Active|1|15|1 Year|2 Years|College|Low|Low|Good|Very High|Best|Sutton|Male|80018|Other
Quality Assurance|Group C|Full Time|Divorced|28|Seattle|02/27/2016|Non Active|1|14|1 Year|2 Years|Bachelor|Very High|Very High|Outstanding|Medium|Better|Rivera|Male|101088|White Collar
Advertising|Group C|Part Time|Divorced|34|Seattle|04/18/2016|Active|12|19|2 Years|3 Years|Doctor|Low|Medium|Low|Medium|Good|Walton|Male|102104|Blue Collar
Sales and Marketing|Group B|Part Time|Divorced|53|Seattle|11/19/2015|Active|1|15|3 Years|1 Year|Masters|High|Medium|Excellent|Low|Good|Norris|Female|99894|Blue Collar
Asset Management|Group A|Full Time|Single|64|Los Angeles|08/13/2013|Non Active|10|7|3 Years|2 Years|Bachelor|High|Medium|Low|Very High|Bad|Mcfarland|Female|75045|White Collar
Human Resources|Group D|Part Time|Single|59|Seattle|06/18/2013|Non Active|7|19|1 Year|2 Years|College|Very High|Low|Good|High|Better|Valentine|Female|96918|White Collar
Accounting|Group D|Full Time|Single|62|Los Angeles|06/30/2013|Active|7|20|1 Year|3 Years|College|Medium|Low|Excellent|Low|Best|Hayes|Female|78353|Blue Collar
Advertising|Group C|Part Time|Divorced|33|Houston|02/08/2013|Active|3|8|3 Years|2 Years|College|High|High|Outstanding|High|Better|Barnett|Female|72394|Blue Collar
Payroll|Group C|Full Time|Divorced|60|Seattle|05/02/2015|Active|12|8|2 Years|1 Year|Doctor|Very High|Very High|Low|Low|Better|Gardner|Male|112365|Other
Customer Service|Group B|Full Time|Single|61|Houston|03/11/2018|Non Active|2|14|2 Years|1 Year|Bachelor|Low|Medium|Outstanding|High|Good|Austin|Male|88990|Blue Collar
Customer Relations|Group A|Part Time|Single|61|Houston|12/24/2018|Active|3|7|3 Years|2 Years|Doctor|Low|Very High|Low|Low|Bad|Strickland|Female|98379|Blue Collar
Customer Service|Group D|Full Time|Single|25|Seattle|11/01/2018|Non Active|3|15|3 Years|1 Year|Doctor|Very High|Medium|Low|Low|Better|Calhoun|Male|92603|White Collar
Quality Assurance|Group B|Part Time|Single|52|New York City|10/14/2016|Active|9|6|3 Years|2 Years|Bachelor|Low|Medium|Excellent|Low|Best|Roy|Male|70019|Other
Advertising|Group B|Full Time|Married|53|Seattle|06/17/2013|Active|9|14|2 Years|2 Years|Masters|High|Low|Excellent|High|Better|Paul|Male|97655|White Collar
Tech Support|Group A|Part Time|Married|63|Seattle|04/05/2013|Non Active|12|18|3 Years|1 Year|College|High|High|Outstanding|High|Bad|Rowe|Male|84190|White Collar
